hostname,window_start,window_end,mean_number_of_open_processes,max_total_swap_space_megabytes,max_total_memory_megabytes,max_number_of_zombie_processes,max_cpu_idle_time_percentage,mean_total_free_memory_megabytes,mean_number_of_transmitted_udp_datagrams,mean_sleeping_uninterruptible,min_total_memory_megabytes,max_number_of_exit_processes,min_total_free_memory_megabytes,mean_cpu_utilization_on_user_mode,mean_write_request_throughput,max_cpu_utilization_on_kernel_mode,min_cpu_running_time_on_user_mode,min_number_of_received_udp_datagrams,min_number_of_open_processes,max_number_of_transmitted_icmp_datagrams,mean_read_request_throughput,min_cpu_running_time_on_system_mode,max_kernel_malloc,max_write_request_throughput,min_cpu_utilization_on_kernel_mode,mean_total_memory_megabytes,min_cpu_idle_time_percentage,min_number_of_transmitted_icmp_datagrams,min_read_request_throughput,max_cpu_running_time_on_system_mode,max_number_of_transmitted_tcp_segments,max_number_of_received_udp_datagrams,mean_cpu_running_time_on_user_mode,mean_number_of_received_icmp_datagrams,max_number_of_running_threads,mean_total_swap_space_megabytes,mean_number_of_exit_processes,min_cpu_utilization_on_user_mode,mean_number_of_transmitted_icmp_datagrams,max_number_of_received_tcp_segments,max_number_of_open_processes,mean_number_of_received_tcp_segments,mean_kernel_malloc,max_number_of_transmitted_udp_datagrams,max_cpu_running_time_on_user_mode,min_number_of_transmitted_tcp_segments,max_read_request_throughput,mean_number_of_transmitted_tcp_segments,min_kernel_malloc,mean_number_of_received_udp_datagrams,min_number_of_exit_processes,min_number_of_transmitted_udp_datagrams,min_number_of_received_tcp_segments,max_sleeping_uninterruptible,min_number_of_received_icmp_datagrams,mean_cpu_idle_time_percentage,mean_number_of_running_threads,min_number_of_running_threads,mean_cpu_running_time_on_system_mode,min_sleeping_uninterruptible,min_total_swap_space_megabytes,min_number_of_zombie_processes,max_total_free_memory_megabytes,mean_cpu_utilization_on_kernel_mode,max_cpu_utilization_on_user_mode,mean_number_of_zombie_processes,max_number_of_received_icmp_datagrams,min_write_request_throughput,attack_flag,attack_step,attack_name
att,1716976114,1716976124.0,608.1818181818182,20000.0,75000.0,0,7420,3528.181818181819,185.4545454545455,-10.0,9250.0,-10,1925.0,494.54545454545445,965914.5454545456,310,0.09999999999999999,140,40,-10,414178.1818181818,0.0,3100.0,1767460,80,45113.63636363635,3110,-10,86000,1480.0,170670,280,219.09999999999997,-10.0,-10,11363.636363636362,-10.0,490,-10.0,192330,1290,104980.0,1856.363636363637,240,481.9,160,687660,93165.45454545454,363.99999999999994,203.63636363636365,-10,140,160,-10,-10,5460.909090909091,-10.0,-10,672.7272727272726,-10,1000.0,0,5451.999999999999,184.5454545454545,500,0.0,-10,4060,0,-,
att,1716976214.0,1716976224.0,1160.0,1000.0,9250.0,0,3350,5446.000000000001,430.0,-10.0,9250.0,-10,5446.000000000001,370.0,4630.0,230,483.8,290,1160,-10,86040.0,1470.0,370.0,4630,230,9250.0,3350,-10,86040,1470.0,10360,290,483.8,-10.0,-10,1000.0,-10.0,370,-10.0,10360,1160,10360.0,370.0,430,483.8,10360,86040,10360.0,370.0,290.0,-10,430,10360,-10,-10,3350.0,-10.0,-10,1470.0,-10,1000.0,0,5446.000000000001,230.0,370,0.0,-10,4630,0,-,
att,1716976114,1716976124.0,598.5,18000.0,67500.0,0,6678,3319.6499999999996,171.0,-9.0,8325.0,-9,1732.5,445.5,797184.0,279,0.09,126,36,-9,348147.0,0.0,2790.0,1590714,72,37912.5,2799,-9,77400,1332.0,153603,252,216.89999999999995,-9.0,-9,9450.0,-9.0,441,-9.0,173097,1161,86620.5,1558.8000000000002,216,433.71,144,618894,76873.5,327.59999999999997,189.0,-9,126,144,-9,-9,4738.5,-9.0,-9,666.0,-9,900.0,0,4906.799999999999,175.5,450,0.0,-9,3654,0,-,
att,1716976214.0,1716976224.0,1044.0,900.0,8325.0,0,3015,4901.400000000001,387.0,-9.0,8325.0,-9,4901.400000000001,333.0,4167.0,207,435.42,261,1044,-9,77436.0,1323.0,333.0,4167,207,8325.0,3015,-9,77436,1323.0,9324,261,435.42,-9.0,-9,900.0,-9.0,333,-9.0,9324,1044,9324.0,333.0,387,435.42,9324,77436,9324.0,333.0,261.0,-9,387,9324,-9,-9,3015.0,-9.0,-9,1323.0,-9,900.0,0,4901.400000000001,207.0,333,0.0,-9,4167,0,-,
att,1716976114,1716976124.0,493.5384615384615,16000.0,60000.0,0,5936,2842.276923076923,148.92307692307693,-8.0,7400.0,-8,1540.0,395.6923076923077,762866.4615384615,248,0.08,112,32,-8,327976.61538461543,0.0,2480.0,1413968,64,35723.07692307693,2488,-8,68800,1184.0,136536,224,177.9753846153846,-8.0,-8,8984.615384615385,-8.0,392,-8.0,153864,1032,82908.92307692308,1469.784615384615,192,385.52,128,550128,73578.46153846152,291.2,163.69230769230765,-8,112,128,-8,-8,4344.615384615384,-8.0,-8,546.4615384615385,-8,800.0,0,4361.599999999999,148.92307692307693,400,0.0,-8,3248,0,-,
att,1716976214.0,1716976224.0,928.0,800.0,7400.0,0,2680,4356.8,344.0,-8.0,7400.0,-8,4356.8,296.0,3704.0,184,387.04,232,928,-8,68832.0,1176.0,296.0,3704,184,7400.0,2680,-8,68832,1176.0,8288,232,387.04,-8.0,-8,800.0,-8.0,296,-8.0,8288,928,8288.0,296.0,344,387.04,8288,68832,8288.0,296.0,232.0,-8,344,8288,-8,-8,2680.0,-8.0,-8,1176.0,-8,800.0,0,4356.8,184.0,296,0.0,-8,3704,0,-,
att,1716976114,1716976124.0,465.5,14000.0,52500.0,0,5194,2581.95,133.0,-7.0,6475.0,-7,1347.5,346.5,620032.0,217,0.07,98,28,-7,270781.0,0.0,2170.0,1237222,56,29487.5,2177,-7,60200,1036.0,119469,196,168.69999999999996,-7.0,-7,7350.0,-7.0,343,-7.0,134631,903,67371.5,1212.4,168,337.33,112,481362,59790.5,254.8,147.0,-7,98,112,-7,-7,3685.5,-7.0,-7,518.0,-7,700.0,0,3816.3999999999996,136.5,350,0.0,-7,2842,0,-,
att,1716976214.0,1716976224.0,812.0,700.0,6475.0,0,2345,3812.2,301.0,-7.0,6475.0,-7,3812.2,259.0,3241.0,161,338.66,203,812,-7,60228.0,1029.0,259.0,3241,161,6475.0,2345,-7,60228,1029.0,7252,203,338.66,-7.0,-7,700.0,-7.0,259,-7.0,7252,812,7252.0,259.0,301,338.66,7252,60228,7252.0,259.0,203.0,-7,301,7252,-7,-7,2345.0,-7.0,-7,1029.0,-7,700.0,0,3812.2,161.0,259,0.0,-7,3241,0,-,
att,1716976114,1716976124.0,374.0,12000.0,45000.0,0,4452,2142.56,112.00000000000001,-6.0,5550.0,-6,1155.0,296.8,566724.0,186,0.060000000000000005,84,24,-6,244131.19999999998,0.0,1860.0,1060476,48,26590.000000000004,1866,-6,51600,888.0,102402,168,134.96399999999997,-6.0,-6,6679.999999999999,-6.0,294,-6.0,115398,774,61590.4,1093.92,144,289.14,96,412596,54659.200000000004,218.4,123.2,-6,84,96,-6,-6,3245.2000000000003,-6.0,-6,414.4,-6,600.0,0,3271.2,112.4,300,0.0,-6,2436,0,-,
att,1716976214.0,1716976224.0,696.0,600.0,5550.0,0,2010,3267.6,258.0,-6.0,5550.0,-6,3267.6,222.0,2778.0,138,290.28000000000003,174,696,-6,51624.0,882.0,222.0,2778,138,5550.0,2010,-6,51624,882.0,6216,174,290.28000000000003,-6.0,-6,600.0,-6.0,222,-6.0,6216,696,6216.0,222.0,258,290.28000000000003,6216,51624,6216.0,222.0,174.0,-6,258,6216,-6,-6,2010.0,-6.0,-6,882.0,-6,600.0,0,3267.6,138.0,222,0.0,-6,2778,0,-,
