hostname,timestamp,number_of_active_tcp_open,cpu_utilization_on_user_mode,sleeping_uninterruptible,number_of_zombie_processes,total_free_memory_megabytes,free_swap_space_megabytes,cpu_utilization_on_interrupt_handling,kernel_malloc,total_memory_megabytes,cpu_waiting_time_percentage,number_of_received_tcp_segments,write_request_throughput,number_of_transmitted_udp_datagrams,cpu_running_time_on_user_mode,filesystem_metadata,number_of_open_processes,number_of_interrupt,number_of_passive_tcp_open,number_of_running_threads,number_of_transmitted_icmp_datagrams,page_cache_megabytes,number_of_received_udp_datagrams,number_of_context_switching,number_of_exit_processes,cpu_load_average_per_5_minutes,cpu_utilization_on_kernel_mode,maximum_vm_space_megabytes,disk_busy_time,clone_system_call,total_swap_space_megabytes,read_request_throughput,cpu_load_average_per_15_minutes,number_of_received_icmp_datagrams,cpu_stolen_time_percentage,cpu_running_time_on_system_mode,current_vm_space_megabytes,number_of_retransmission,cpu_load_average_per_minute,cpu_idle_time_percentage,number_of_transmitted_tcp_segments,attack_flag,attack_step,attack_name
victim,1716976170,-1,42,-1,0,544.6,100.0,4,36.9,925.0,1,26,442,35,48.25,25.8,121,0.0,-1,-1,-1,214.0,29,0.0,-1,0.81,26,562.5,11,-1,100.0,8604,0.45,-1,-1,149.0,746.8,-1,0.42,327,26,0,benign,benign
victim,1716976181,-1,40,-1,0,544.6,100.0,4,37.0,925.0,1,1030,448,37,48.23,25.8,121,0.0,-1,-1,-1,214.0,29,0.0,-1,0.78,25,562.5,11,-1,100.0,8604,0.44,-1,-1,150.0,745.8,-1,0.36,329,1030,0,benign,benign
victim,1716976192,-1,39,-1,0,544.8,100.0,4,37.0,925.0,1,1032,454,39,48.26,25.8,120,0.0,-1,-1,-1,214.0,29,0.0,-1,0.76,24,562.5,11,-1,100.0,8604,0.44,-1,-1,150.0,746.6,-1,0.3,331,1032,0,benign,benign
victim,1716976204,-1,38,-1,0,544.8,100.0,4,37.0,925.0,1,1034,457,41,48.39,25.8,118,0.0,-1,-1,-1,214.0,29,0.0,-1,0.73,24,562.5,10,-1,100.0,8604,0.43,-1,-1,147.0,746.6,-1,0.26,333,1034,0,benign,benign
victim,1716976215,-1,37,-1,0,544.6,100.0,4,37.0,925.0,1,1036,463,43,48.38,25.8,116,0.0,-1,-1,-1,214.0,29,0.0,-1,0.73,23,562.5,10,-1,100.0,8604,0.44,-1,-1,147.0,746.2,-1,0.35,335,1036,0,benign,benign
victim,1716976226,-1,35,-1,0,544.5,100.0,4,37.0,925.0,1,1038,469,45,48.4,25.8,116,0.0,-1,-1,-1,214.0,29,0.0,-1,0.7,22,562.5,10,-1,100.0,8604,0.43,-1,-1,148.0,745.9,-1,0.29,337,1038,0,benign,benign
victim,1716976237,-1,34,-1,0,544.6,100.0,4,37.0,925.0,1,1040,475,47,48.38,25.8,116,0.0,-1,-1,-1,214.0,29,0.0,-1,0.68,22,562.5,9,-1,100.0,8604,0.43,-1,-1,148.0,745.9,-1,0.25,339,1040,0,benign,benign
victim,1716976248,-1,34,-1,0,544.3,100.0,4,37.0,925.0,1,1042,481,49,48.46,25.8,116,0.0,-1,-1,-1,214.0,29,0.0,-1,0.66,21,562.5,9,-1,100.0,8604,0.42,-1,-1,148.0,746.2,-1,0.21,341,1042,0,benign,benign
victim,1716976259,-1,33,-1,0,544.3,100.0,4,37.0,925.0,1,1044,487,51,48.45,25.8,117,0.0,-1,-1,-1,214.0,29,0.0,-1,0.62,21,562.5,9,-1,100.0,8604,0.42,-1,-1,148.0,746.5,-1,0.16,342,1044,0,benign,benign
victim,1716976271,-1,32,-1,0,544.6,100.0,3,37.0,925.0,1,1046,493,53,48.48,25.8,117,0.0,-1,-1,-1,214.0,29,0.0,-1,0.6,20,562.5,9,-1,100.0,8604,0.41,-1,-1,149.0,746.2,-1,0.14,344,1046,0,benign,benign
