window_start,window_end,protocol,src_ip_addr,src_port,dst_ip_addr,dst_port,flow_iat_std,forward_packet_length_max,total_bhlen,flow_protocol,bpkts_per_second,flow_iat_total,forward_iat_max,flow_iat_mean,forward_packet_length_mean,fpkts_per_second,flow_packets_per_second,forward_iat_total,forward_packet_length_std,total_fhlen,forward_iat_min,backward_iat_std,backward_packet_length_mean,backward_iat_total,total_forward_packets,backward_packet_length_std,backward_packet_length_min,flow_ece,forward_packet_length_min,flow_cwr,flow_rst,backward_iat_mean,flow_urg,flow_psh,forward_iat_std,total_length_of_forward_packets,backward_packet_length_max,forward_iat_mean,total_length_of_backward_packets,total_backward_packets,flow_fin,flow_ack,flow_syn,backward_iat_min,flow_iat_min,backward_iat_max,flow_iat_max,attack_flag,attack_step,attack_name
1736941635.560470,1736941645.560470,17,10.201.41.3,1985,224.0.0.2,1985,12.5,310,6345,85,0.0,837.819445,32.023655,17.85,307.6595744680851,23.5,23.5,837.819445,4.25,0,0.000000,-5,0,0,235,-5,-5,0,300,0,0,-5,0,0,12.5,14460,-5,17.85,0,0,0,0,0,-5,0.000000,-5,32.023655,0,-,
1736941635.560470,1736941645.560470,17,10.201.41.31,7500,255.255.255.255,7500,0.0,1160,9585,85,0.0,2.111470,0.036050,0.05,1160.0,35.5,35.5,2.111470,0.0,0,0.000000,-5,0,0,355,-5,-5,0,1160,0,0,-5,0,0,0.0,82360,-5,0.05,0,0,0,0,0,-5,0.000000,-5,0.036050,0,-,
1736941635.560470,1736941645.560470,17,10.201.41.31,7500,10.201.41.255,7500,0.0,1160,1485,85,0.0,0.000000,0.000000,0.00,1160.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1160,0,0,-5,0,0,0.0,12760,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941635.560470,1736941645.560470,17,10.201.41.210,138,10.201.41.255,138,0.0,1215,1485,85,0.0,0.000000,0.000000,0.00,1215.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1215,0,0,-5,0,0,0.0,13365,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941635.560470,1736941645.560470,17,10.201.41.106,2407,239.192.152.143,6771,0.0,890,1485,85,0.0,0.000000,0.000000,0.00,890.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,890,0,0,-5,0,0,0.0,9790,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941635.560470,1736941645.560470,17,10.201.41.106,6771,239.192.152.143,6771,0.0,890,3105,85,0.0,0.003520,0.000320,0.00,890.0,11.5,11.5,0.003520,0.0,0,0.000000,-5,0,0,115,-5,-5,0,890,0,0,-5,0,0,0.0,20470,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000320,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.2,1985,224.0.0.2,1985,11.65,310,4725,85,0.0,482.422150,28.725710,13.80,310.0,17.5,17.5,482.422150,0.0,0,0.000000,-5,0,0,175,-5,-5,0,310,0,0,-5,0,0,11.65,10850,-5,13.80,0,0,0,0,0,-5,0.000000,-5,28.725710,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.3,1985,224.0.0.2,1985,12.5,310,6345,85,0.0,837.819445,32.023655,17.85,307.6595744680851,23.5,23.5,837.819445,4.25,0,0.000000,-5,0,0,235,-5,-5,0,300,0,0,-5,0,0,12.5,14460,-5,17.85,0,0,0,0,0,-5,0.000000,-5,32.023655,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.31,7500,255.255.255.255,7500,0.0,1160,9585,85,0.0,2.111470,0.036050,0.05,1160.0,35.5,35.5,2.111470,0.0,0,0.000000,-5,0,0,355,-5,-5,0,1160,0,0,-5,0,0,0.0,82360,-5,0.05,0,0,0,0,0,-5,0.000000,-5,0.036050,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.31,7500,10.201.41.255,7500,0.0,1160,1485,85,0.0,0.000000,0.000000,0.00,1160.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1160,0,0,-5,0,0,0.0,12760,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.210,138,10.201.41.255,138,0.0,1215,1485,85,0.0,0.000000,0.000000,0.00,1215.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1215,0,0,-5,0,0,0.0,13365,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.106,2407,239.192.152.143,6771,0.0,890,1485,85,0.0,0.000000,0.000000,0.00,890.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,890,0,0,-5,0,0,0.0,9790,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941636.560470,1736941646.560470,17,10.201.41.106,6771,239.192.152.143,6771,0.0,890,3105,85,0.0,0.003520,0.000320,0.00,890.0,11.5,11.5,0.003520,0.0,0,0.000000,-5,0,0,115,-5,-5,0,890,0,0,-5,0,0,0.0,20470,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000320,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.2,1985,224.0.0.2,1985,11.65,310,4725,85,0.0,482.422150,28.725710,13.80,310.0,17.5,17.5,482.422150,0.0,0,0.000000,-5,0,0,175,-5,-5,0,310,0,0,-5,0,0,11.65,10850,-5,13.80,0,0,0,0,0,-5,0.000000,-5,28.725710,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.3,1985,224.0.0.2,1985,12.5,310,6345,85,0.0,837.819445,32.023655,17.85,307.6595744680851,23.5,23.5,837.819445,4.25,0,0.000000,-5,0,0,235,-5,-5,0,300,0,0,-5,0,0,12.5,14460,-5,17.85,0,0,0,0,0,-5,0.000000,-5,32.023655,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.31,7500,255.255.255.255,7500,0.0,1160,9585,85,0.0,2.111470,0.036050,0.05,1160.0,35.5,35.5,2.111470,0.0,0,0.000000,-5,0,0,355,-5,-5,0,1160,0,0,-5,0,0,0.0,82360,-5,0.05,0,0,0,0,0,-5,0.000000,-5,0.036050,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.31,7500,10.201.41.255,7500,0.0,1160,1485,85,0.0,0.000000,0.000000,0.00,1160.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1160,0,0,-5,0,0,0.0,12760,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.210,138,10.201.41.255,138,0.0,1215,1485,85,0.0,0.000000,0.000000,0.00,1215.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,1215,0,0,-5,0,0,0.0,13365,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.106,2407,239.192.152.143,6771,0.0,890,1485,85,0.0,0.000000,0.000000,0.00,890.0,5.5,5.5,0.000000,0.0,0,0.000000,-5,0,0,55,-5,-5,0,890,0,0,-5,0,0,0.0,9790,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000000,0,-,
1736941637.560470,1736941647.560470,17,10.201.41.106,6771,239.192.152.143,6771,0.0,890,3105,85,0.0,0.003520,0.000320,0.00,890.0,11.5,11.5,0.003520,0.0,0,0.000000,-5,0,0,115,-5,-5,0,890,0,0,-5,0,0,0.0,20470,-5,0.00,0,0,0,0,0,-5,0.000000,-5,0.000320,0,-,
1736941638.560470,1736941648.560470,17,10.201.41.2,1985,224.0.0.2,1985,11.65,310,4725,85,0.0,482.422150,28.725710,13.80,310.0,17.5,17.5,482.422150,0.0,0,0.000000,-5,0,0,175,-5,-5,0,310,0,0,-5,0,0,11.65,10850,-5,13.80,0,0,0,0,0,-5,0.000000,-5,28.725710,0,-,
1736941638.560470,1736941648.560470,17,10.201.41.3,1985,224.0.0.2,1985,7.95,310,4725,85,0.0,373.902145,18.768875,10.70,306.8571428571429,17.5,17.5,373.902145,4.65,0,0.000000,-5,0,0,175,-5,-5,0,300,0,0,-5,0,0,7.95,10740,-5,10.70,0,0,0,0,0,-5,0.000000,-5,18.768875,0,-,
